Date,^BXM,^PUT,^SPX,^VIX,SPY,SHY,IEF,QQQ,TLT
2015-09-25,1094.97998046875,1483.260009765625,1931.3399658203125,23.6200008392334,161.62188720703125,68.78236389160156,83.3429946899414,95.20921325683594,89.59147644042969
2015-09-28,1071.949951171875,1452.510009765625,1881.77001953125,27.6299991607666,157.56564331054688,68.83106994628906,83.81871032714844,92.49874114990234,91.12466430664062
2015-09-29,1074.1099853515625,1455.27001953125,1884.0899658203125,26.829999923706055,157.65780639648438,68.8634262084961,84.10726165771484,92.01769256591797,91.38267517089844
2015-09-30,1092.199951171875,1477.6800537109375,1920.030029296875,24.5,160.5994110107422,68.8796157836914,84.12285614013672,94.13615417480469,91.06571960449219
2015-10-01,1094.5,1482.300048828125,1923.8199462890625,22.549999237060547,161.01846313476562,68.8796157836914,84.18843841552734,94.56168365478516,91.45426940917969
2015-10-02,1106.780029296875,1498.510009765625,1951.3599853515625,20.940000534057617,163.42372131347656,68.97694396972656,84.59461975097656,96.21757507324219,92.00824737548828
2015-10-05,1118.97998046875,1514.760009765625,1987.050048828125,19.540000915527344,166.33181762695312,68.92829895019531,84.12600708007812,97.5959243774414,90.75992584228516
2015-10-06,1118.25,1513.989990234375,1979.9200439453125,19.399999618530273,165.76193237304688,68.92019653320312,84.29778289794922,97.13338470458984,91.15139770507812
2015-10-07,1123.0400390625,1520.3499755859375,1995.8299560546875,18.399999618530273,167.11964416503906,68.9039306640625,84.08694458007812,97.71620178222656,90.84855651855469
2015-10-08,1126.1300048828125,1523.8800048828125,2013.4300537109375,17.420000076293945,168.62814331054688,68.88777923583984,83.86825561523438,98.1047592163086,90.08770751953125
2015-10-09,1127.739990234375,1525.969970703125,2014.8900146484375,17.079999923706055,168.72869873046875,68.88777923583984,83.91511535644531,98.54873657226562,90.32413482666016
2015-10-12,1128.8399658203125,1526.81005859375,2017.4599609375,16.170000076293945,168.88796997070312,68.87153625488281,84.19628143310547,98.78929901123047,91.01107788085938
2015-10-13,1127.8499755859375,1526.2099609375,2003.68994140625,17.670000076293945,167.82359313964844,68.89584350585938,84.27434539794922,98.15098571777344,91.16619110107422
2015-10-14,1128.22998046875,1526.2900390625,1994.239990234375,18.030000686645508,167.01905822753906,68.99311828613281,84.73519897460938,97.99372100830078,91.96395874023438
2015-10-15,1129.699951171875,1527.8599853515625,2023.8599853515625,16.049999237060547,169.58358764648438,68.95264434814453,84.44622802734375,99.60336303710938,91.51338958740234
2015-10-16,1128.4000244140625,1527.8599853515625,2033.1099853515625,15.050000190734863,170.35455322265625,68.92019653320312,84.37591552734375,100.01963806152344,91.54289245605469
2015-10-19,1129.1500244140625,1532.8399658203125,2033.6600341796875,14.979999542236328,170.43836975097656,68.94451141357422,84.33680725097656,100.59317779541016,91.29176330566406
2015-10-20,1127.97998046875,1531.4599609375,2030.77001953125,15.75,170.22052001953125,68.9039306640625,84.04783630371094,100.07514190673828,90.73043823242188
